pair,WGSID,Type,file_accession_id
MELA_0407,295fd240-86b8-4cc8-b377-e6471aed759a,cancer,EGAF00002438730
MELA_0365,dc7a238e-b397-4422-b825-e720484fb1f6,cancer,EGAF00002438731
MELA_0366,ead46fee-5206-4559-a0ae-b78fa026d4c9,cancer,EGAF00002438891
MELA_0367,daccc4d5-4ddf-40f0-bf6c-77755e8ed8d1,cancer,EGAF00002438698
MELA_0368,5efdc40e-4dd6-487d-85f4-79724db93887,cancer,EGAF00002438696
MELA_0369,c247654e-dc02-437f-8dc3-96e3b546b5b1,cancer,EGAF00002438882
MELA_0372,ad55cf0e-f189-4c05-bd30-76c5670f48a8,cancer,EGAF00002438729
MELA_0373,6184d412-bd69-4adc-b6de-9a987fd72fd2,cancer,EGAF00002438707
MELA_0413,bfc8bfab-fd4c-4916-8590-172f307e48e0,cancer,EGAF00002438695
MELA_0415,a6a76311-e529-4cbf-84bf-bbcd01356a13,cancer,EGAF00002438692
MELA_0374,a01c0f7f-30c9-4390-8abf-9cfcf0b4c87a,cancer,EGAF00002438757
MELA_0255,b8e74e62-f237-42fe-a647-4852638940ea,cancer,EGAF00002438790
MELA_0418,423c41f8-6f24-463d-8a8d-e849de4f19de,cancer,EGAF00002438715
MELA_0376,a5249137-70a4-4395-bb44-46da308104b2,cancer,EGAF00002438714
MELA_0377,1c2c42f7-1904-4f5f-b4e2-57378b8d38df,cancer,EGAF00002438750
MELA_0562,b5ae36ab-159b-4abb-a2ee-6bd109a884cc,cancer,EGAF00002438788
MELA_0378,1d8c39a0-8588-449d-8dfe-de18a4df987a,cancer,EGAF00002438699
MELA_0421,001c90f1-ab3e-405f-a489-bf2680c3bb7b,cancer,EGAF00002438697
MELA_0379,4fbe6144-86d7-4df7-b79c-68bc70581394,cancer,EGAF00002438719
MELA_0380,28932223-4145-4c58-88d4-b865cb8ac635,cancer,EGAF00002438756
MELA_0381,d254bee5-5567-4846-b2e9-9ee1fe8e98a2,cancer,EGAF00002438804
MELA_0425,462b1beb-2b5c-47f5-9fdb-98c3ac17c00e,cancer,EGAF00002438883
MELA_0382,d8cb8015-f746-4c1e-bde3-1f821ca0281e,cancer,EGAF00002438694
MELA_0552,a9e93aba-88a6-4b5b-b745-fc5c21502961,cancer,EGAF00002438817
MELA_0430,01fc5e39-3734-4eca-a2d4-9f4b2d22cffe,cancer,EGAF00002438716
MELA_0386,017b1fde-1a36-4c1b-85e9-c03ddca5a2a2,cancer,EGAF00002438867
MELA_0388,5917512f-9f0f-4b34-b6d6-6233117f1e07,cancer,EGAF00002438742
MELA_0433,3afd6c41-28ca-4c54-ab0d-b739000c3821,cancer,EGAF00002438741
MELA_0389,a0947ef3-fe73-4f4d-a46a-2fb939650ba7,cancer,EGAF00002438739
MELA_0436,00968f6a-d44d-494c-aee9-9cd93f7feb92,cancer,EGAF00002438768
MELA_0390,cbb32c4d-449d-4d5b-980c-6926aae24653,cancer,EGAF00002438705
MELA_0391,53885c57-6291-471f-bbad-6d1e9e023d3d,cancer,EGAF00002438767
MELA_0440,abff92fa-b4ba-4b6f-b3b5-1d460960e2ad,cancer,EGAF00002438717
MELA_0441,11e17062-8a16-430e-ba02-d3677b9eb662,cancer,EGAF00002438783
MELA_0443,d7a0e3f5-55a3-41b2-9f8d-1d5860fb5921,cancer,EGAF00002438713
MELA_0444,3144620d-d298-42a0-82e8-ef7b9691e730,cancer,EGAF00002438898
MELA_0445,7cd3741e-f0fa-4d9d-9b99-5fce6629faca,cancer,EGAF00002438805
MELA_0446,11d7e024-b565-4bd9-abb7-11b173fcc930,cancer,EGAF00002438708
MELA_0447,f7200de1-9603-49ea-890c-8f7515c03aaf,cancer,EGAF00002438765
MELA_0455,62e185e5-32ca-4800-ba23-bf5e0174b8ca,cancer,EGAF00002438728
MELA_0458,c048a187-6614-43d5-adf8-8e89a7f6e70d,cancer,EGAF00002438690
MELA_0395,a7e69809-db50-423b-b78d-222d9993b19c,cancer,EGAF00002438892
MELA_0469,d174cbd0-47d6-401d-a8f5-ca4bcc72709d,cancer,EGAF00002438691
MELA_0472,b5924a0c-73b0-4ed7-9b9a-6b359a3bb223,cancer,EGAF00002438718
MELA_0228,d450e1f2-bbad-4451-a345-962bb2fb42c4,cancer,EGAF00002438709
MELA_0383,1422352d-6a0d-4add-ae74-3ed1f58cdf86,cancer,EGAF00002438751
